id,name_en,name_hi,name_kn,category,skill_level,is_certifiable,certifying_body,description,source_id
skl-001,General Housekeeping,सामान्य गृह व्यवस्थापन,ಸಾಮಾನ್ಯ ಮನೆ ನಿರ್ವಹಣೆ,technical,beginner,true,Domestic Workers Sector Skill Council (DWSSC),"Covers basic housekeeping, laundry, kitchen cleaning, hygiene/etiquette, and workplace safety for domestic-work settings. NSQF Level 2 (QP Code DWC/Q0102).",src-009
skl-002,Self Employed Tailoring,स्वरोजगार दर्जी कार्य,ಸ್ವಯಂ ಉದ್ಯೋಗಿ ಟೈಲರಿಂಗ್,technical,intermediate,true,"Apparel, Made-ups & Home Furnishing Sector Skill Council (AMHSSC)","Covers measurement-taking, pattern drafting, fabric cutting, sewing, and alteration for custom garments. NSQF Level 4 (QP Code AMH/Q1947).",src-007
skl-003,Electrical Installation & Maintenance (Electrician),विद्युत स्थापना एवं रखरखाव,ವಿದ್ಯುತ್ ಅಳವಡಿಕೆ ಮತ್ತು ನಿರ್ವಹಣೆ,technical,intermediate,true,Electronics Sector Skills Council of India (ESSCI),"Covers planning, installation, testing, commissioning, and fault-repair of electrical/electronic sub-systems. NSQF Level 4 (QP Code ELE/Q5804).",src-008
skl-004,Armed Security Guarding,सशस्त्र सुरक्षा कार्य,ಶಸ್ತ್ರಸಜ್ಜಿತ ಭದ್ರತಾ ಕಾರ್ಯ,safety,intermediate,true,Management & Entrepreneurship and Professional Skills Council (MEPSC),"Covers guarding practices, firearm safety, cash-in-transit escort, and private-security regulatory compliance. NSQF Level 4 (NCVET Code 2022/OAFM/MEPSC/05426).",src-010
skl-005,Beauty Therapy (candidate — needs review),ब्यूटी थेरेपी,ಬ್ಯೂಟಿ ಥೆರಪಿ,technical,intermediate,true,"Beauty & Wellness Sector Skill Council (title/QP code only — REQUIRES OFFICIAL SOURCE VERIFICATION)","Candidate skill identified from an NQR listing (BWS/Q0102, NSQF Level 4); the full qualification file has not been read/verified in this session.",src-011
skl-006,Electric Vehicle Service Technician (candidate — needs review),इलेक्ट्रिक वाहन सेवा तकनीशियन,ಎಲೆಕ್ಟ್ರಿಕ್ ವಾಹನ ಸೇವಾ ತಂತ್ರಜ್ಞ,technical,intermediate,true,"REQUIRES OFFICIAL SOURCE VERIFICATION","Candidate skill identified only from an NQR qualification-file URL; the document could not be read/verified in this session.",src-012
skl-007,Fitter (Mechanical Fitting Trade),फिटर,ಫಿಟ್ಟರ್,technical,intermediate,true,DGT / NCVT (Craftsmen Training Scheme),"Fitting, assembly, and precision-measurement trade under DGT's Craftsmen Training Scheme (CTS). Official trade name and current use at specific Karnataka ITIs confirmed via a DGT DST affiliation order; the underlying NSQF level/QP code were not independently re-verified in this session.",src-026
skl-008,Machinist Practice,मशीनिस्ट,ಮೆಷಿನಿಸ್ಟ್,technical,intermediate,true,DGT / NCVT (Craftsmen Training Scheme),"Operation of lathe, milling, and other machine-shop tools under DGT's CTS. Official trade name and current use at a specific Karnataka ITI (BEML Nagar, KGF) confirmed via a DGT DST affiliation order.",src-026
skl-009,Turner (Lathe/Turning Trade),टर्नर,ಟರ್ನರ್,technical,intermediate,true,DGT / NCVT (Craftsmen Training Scheme),Precision lathe-turning trade under DGT's CTS. Official trade name and current use at specific Karnataka ITIs confirmed via a DGT DST affiliation order.,src-026
skl-010,Mechanic Motor Vehicle (Servicing),मोटर वाहन मैकेनिक,ಮೋಟಾರ್ ವಾಹನ ಮೆಕ್ಯಾನಿಕ್,technical,intermediate,true,DGT / NCVT (Craftsmen Training Scheme),"Servicing, repair, and maintenance of motor vehicles under DGT's CTS. Official trade name and current use at a specific Karnataka ITI (Koratagere) confirmed via a DGT DST affiliation order.",src-026
skl-011,Welding (Arc & Gas),वेल्डिंग,ವೆಲ್ಡಿಂಗ್,technical,intermediate,true,DGT / NCVT (Craftsmen Training Scheme),"Arc/gas welding and fabrication trade under DGT's CTS. Official trade name and current use at a specific Karnataka ITI (N R Mohalla, Mysore) confirmed via a DGT DST affiliation order.",src-026
skl-012,Electronics Mechanic (Servicing & Repair),इलेक्ट्रॉनिक्स मैकेनिक,ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್ ಮೆಕ್ಯಾನಿಕ್,technical,intermediate,true,DGT / NCVT (Craftsmen Training Scheme),"Servicing and repair of electronic equipment under DGT's CTS. Official trade name and current use at specific Karnataka ITIs (Beguru, Malavalli) confirmed via a DGT DST affiliation order.",src-026
skl-013,"Tool & Die Making (Press Tools, Jigs & Fixtures)",टूल एंड डाई मेकिंग,ಟೂಲ್ ಮತ್ತು ಡೈ ತಯಾರಿಕೆ,technical,advanced,true,DGT / NCVT (Craftsmen Training Scheme),"Precision tool, die, jig, and fixture-making trade under DGT's CTS. Official trade name and current use at a specific Karnataka ITI (Maddur) confirmed via a DGT DST affiliation order.",src-026
skl-014,CNC Machining Technician,सीएनसी मशीनिंग तकनीशियन,ಸಿಎನ್‍ಸಿ ಯಂತ್ರ ತಂತ್ರಜ್ಞ,technical,advanced,true,DGT / NCVT (Craftsmen Training Scheme),"CNC machine programming and operation trade under DGT's CTS. Official trade name and current use at a specific Karnataka ITI (N R Mohalla, Mysore) confirmed via a DGT DST affiliation order.",src-026
