id,source_id,chunk_text,section,retrieved_date,promoted_to_evidence,embedding_status
chk-001,src-001,"Official Source: Ministry of Micro, Small and Medium Enterprises (MSME), Government of India
Authority: Ministry of MSME, MoSD&E, and Department of Financial Services
Portal URL: https://pmvishwakarma.gov.in/
Source ID: src-001",PM Vishwakarma Scheme Guidelines,2026-09-05,false,not-generated
chk-002,src-001,"PM Vishwakarma is a Central Sector Scheme launched to provide end-to-end support to artisans and craftspeople who work with their hands and tools. The scheme aims to:
- Enable the recognition of artisans and craftspeople as Vishwakarmas, making them eligible to avail all the benefits under the Scheme.
- Help them upgrade their skills and provide them with relevant and suitable training opportunities.
- Support them with better and modern tools to enhance their capability, productivity, and quality of products.
- Provide them with access to collateral-free credit and reduce the cost of credit by providing interest subvention.
- Provide them with incentives for digital transactions to encourage digital empowerment.
- Provide them with a platform for brand promotion and market linkages.",1. Scheme Overview and Objectives,2026-09-05,false,not-generated
chk-003,src-001,"The scheme covers artisans and craftspeople engaged in 18 traditional family-based trades:
1. Carpenter (Suthar)
2. Boat Maker
3. Armourer
4. Blacksmith (Lohar)
5. Hammer and Tool Kit Maker
6. Locksmith
7. Sculptor (Moortikar, stone carver), Stone breaker
8. Goldsmith (Sonar)
9. Potter (Kumhaar)
10. Cobbler (Charmakar) / Shoesmith / Footwear artisan 11. Masons (Raajmistri)
12. Basket / Mat / Broom Maker / Coir Weaver 13. Doll & Toy Maker (Traditional)
14. Barber (Naai) 15. Garland maker (Malakaar)
16. Washerman (Dhobi) 17. Tailor (Darzi)
18. Fishing Net Maker",2. Eligible Traditional Trades (18 Trades),2026-09-05,false,not-generated
chk-004,src-001,"- An artisan or craftsperson working with hands and tools and engaged in one of the 18 family-based traditional trades mentioned above in the unorganised sector on self-employment basis.
- The minimum age of the beneficiary should be 18 years on the date of registration.
- The beneficiary should be actively engaged in the concerned trade on the date of registration and should not have availed credit-based schemes of the Central Government or State Government for self-employment or business development (e.g. PMEGP, PM SVANidhi, Mudra) in the past 5 years.
- The registration and benefits under the Scheme shall be restricted to one member of the family. For the purpose of the Scheme, a 'family' is defined as consisting of the husband, wife, and unmarried children.
- A person in government service and their family members shall not be eligible under the Scheme.",3. Eligibility Criteria,2026-09-05,false,not-generated
chk-005,src-001,The scheme provides five major types of benefits to registered Vishwakarmas:,4. Scheme Benefits and Interventions,2026-09-05,false,not-generated
chk-006,src-001,- Recognition through PM Vishwakarma Certificate and ID Card acknowledging their traditional skills.,Recognition,2026-09-05,false,not-generated
chk-007,src-001,"- Basic Training of 5 to 7 days (40 hours) with a daily training stipend of Rs 500 per day.
- Advanced Training of 15 days (120 hours) or more for interested candidates, with training stipend of Rs 500 per day.",Skill Upgradation,2026-09-05,false,not-generated
chk-008,src-001,"- A toolkit incentive grant of up to Rs 15,000 provided in the form of e-vouchers / digital voucher upon commencement of Basic Training.",Toolkit Incentive,2026-09-05,false,not-generated
chk-009,src-001,"- Collateral-free Enterprise Development Loans:
- First Tranche: Up to Rs 1,00,000 (repayable over 18 months).
- Second Tranche: Up to Rs 2,00,000 (repayable over 30 months) for beneficiaries who have availed the first tranche, maintained a standard repayment record, adopted digital transactions, or completed advanced skill training.
- Concessional Interest Rate: A concessional interest rate of 5% is charged from the beneficiary, with an interest subvention cap of 8% paid by the Government of India.
- Credit Guarantee fees are fully borne by the Government of India.",Credit Support (Enterprise Development Loans),2026-09-05,false,not-generated
chk-010,src-001,- An incentive of Re 1 per digital transaction for a maximum of up to 100 transactions per month is credited to the beneficiary's bank account.,Incentive for Digital Transactions,2026-09-05,false,not-generated
chk-011,src-001,"- Marketing assistance in the form of quality certification, branding, onboarding on e-commerce platforms such as GeM, advertising, and trade fairs.",Marketing Support,2026-09-05,false,not-generated
chk-012,src-001,"Registration is conducted through Common Service Centres (CSCs) via biometric authentication on the PM Vishwakarma Portal.
Required verification documents:
- Aadhaar Card (mandatory identity proof).
- Mobile number linked to Aadhaar.
- Active Bank Account details (Bank Account number, IFSC code).
- Ration Card / Family Declaration.
Verification is conducted through a three-stage process:
1. Stage 1: Gram Panchayat / Urban Local Body (ULB) verification.
2. Stage 2: District Implementation Committee (DIC) screening.
3. Stage 3: National Steering Committee approval.",5. Verification Process and Documentation,2026-09-05,false,not-generated
chk-013,src-002,"Official Source: Ministry of Labour & Employment, Government of India
Authority: Ministry of Labour & Employment (MoLE)
Portal URL: https://eshram.gov.in/faqs
Source ID: src-002",e-Shram Portal Guidelines and Frequently Asked Questions,2026-09-05,false,not-generated
chk-014,src-002,The Ministry of Labour & Employment has developed the e-Shram portal for creating a centralized National Database of Unorganised Workers (NDUW). The database is seeded with Aadhaar and aims to deliver social security benefits and welfare schemes implemented by the Central and State Governments to informal workers.,1. What is e-Shram Portal?,2026-09-05,false,not-generated
chk-015,src-002,"An unorganised worker is any worker who is a home-based worker, self-employed worker, or a wage worker working in the unorganised sector. An unorganised sector enterprise includes any establishment or business owned by individuals or self-employed workers engaged in the production or sale of goods or services, where the enterprise employs fewer than 10 workers.",2. Definition of Unorganised Worker,2026-09-05,false,not-generated
chk-016,src-002,"To register on e-Shram, an applicant must satisfy the following conditions:
- Age: The worker must be between 16 and 59 years of age (16 years or above on the date of registration).
- Occupation: Must be engaged in an unorganised sector occupation (e.g. agricultural labour, construction work, domestic work, street vending, transport driving, delivery gig work, tailoring, carpentry, craftsmanship).
- Social Security Exclusion: The worker must NOT be a member of the Employees' Provident Fund Organisation (EPFO) or Employees' State Insurance Corporation (ESIC).
- Tax Exclusion: The worker should NOT be an income tax payee.
- Income Criteria: There is no minimum or maximum income criterion for registering on e-Shram as an unorganised worker, provided the individual is not an income tax payee.",3. Eligibility Criteria for Registration,2026-09-05,false,not-generated
chk-017,src-002,"Registration on e-Shram is free of charge:
- Mandatory Documents:
1. Aadhaar Number (UIDAI).
2. Mobile Number linked with Aadhaar (for OTP authentication).
3. Active Savings Bank Account details (Account Number, Bank Name, IFSC code).
- Workers who do not have an Aadhaar-linked mobile number can visit the nearest Common Service Centre (CSC) or State Seva Kendra for assisted registration using biometric (fingerprint or iris) authentication.",4. Required Documents and Registration Process,2026-09-05,false,not-generated
chk-018,src-002,"Upon successful registration on the e-Shram portal:
- Workers are issued an e-Shram Card featuring a unique 12-digit Universal Account Number (UAN) that is valid across all States and Union Territories of India.
- Clarification on Financial Benefits: Currently, registration on the e-Shram portal serves as a unified registration and identity mechanism for unorganised workers. Registration itself does not disburse direct recurring cash grants or automatic cash allowances unless linked to specific disaster relief or targeted State welfare programs.
- The UAN card enables portable delivery of social security benefits, accidental insurance coverage notifications, and skill development opportunities under Central and State Government schemes.",5. Universal Account Number (UAN) and Benefits,2026-09-05,false,not-generated
chk-019,src-004,"Official Source: Skill Development, Entrepreneurship and Livelihood Department (SDEL), Government of Karnataka
Authority: Karnataka Skill Development Corporation (KSDC)
Portal URL: https://kaushalya.karnataka.gov.in/7/chief-minister-kaushalya-karnataka-yojane/en
Source ID: src-004",Chief Minister's Kaushalya Karnataka Yojane (CMKKY) Scheme Guidelines,2026-09-05,false,not-generated
chk-020,src-004,"Chief Minister's Kaushalya Karnataka Yojane (CMKKY) is the flagship vocational skilling initiative implemented by the Government of Karnataka through the Department of Skill Development, Entrepreneurship and Livelihood. The primary objective is to enhance the employability and livelihood opportunities of youth across the state through demand-driven market-aligned technical training.",1. Scheme Background and Objectives,2026-09-05,false,not-generated
