id,source_id,related_entity_type,related_entity_id,claim_text,excerpt_text,page_or_section,verification_status
ev-001,src-001,scheme,sch-001,PM Vishwakarma minimum age is 18 years,"the minimum age of the beneficiary should be 18 years on the date of registration",Eligibility Criteria,verified
ev-002,src-001,scheme,sch-001,"PM Vishwakarma toolkit incentive is Rs 15,000","Rs 15,000 grant",Benefits,verified
ev-003,src-001,scheme,sch-001,PM Vishwakarma training stipend is Rs 500 per day,"Rs 500 per day",Benefits,verified
ev-004,src-001,scheme,sch-001,PM Vishwakarma credit tranches are Rs 1 lakh then Rs 2 lakh at 5% interest,"Rs 1 lakh (First Tranche for 18 months repayment) & Rs 2 lakh (Second Tranche); 5% to be charged from the beneficiary",Benefits,verified
ev-005,src-002,scheme,sch-002,e-Shram eligibility age is 16 years or above,"A person aged 16 years or above who is engaged in unorganised work may register on eShram",Eligibility Criteria,verified
ev-006,src-002,scheme,sch-002,e-Shram excludes ESIC/EPFO members,"a member of ESIC or EPFO [is excluded from registering as an unorganised worker]",EPFO/ESIC Exclusion,verified
ev-007,src-002,scheme,sch-002,e-Shram currently provides registration only with no direct financial benefit automatically linked,"Right now, only registration is being done through e-Shram.",Benefits and Insurance,verified
ev-008,src-007,skill,skl-002,"Self Employed Tailor QP code AMH/Q1947, NSQF Level 4, min age 18, min education 8th class plus 6 months experience, aligned to NCO-2015/7531.0100","QP Code: AMH/Q1947 ... NSQF Level 4 ... Minimum Job Entry Age 18 Years ... Aligned to NCO/ISCO/ISIC Code NCO-2015/7531.0100",QP Parameters,verified
ev-009,src-008,skill,skl-003,"Electrician QP code ELE/Q5804, NSQF Level 4, min age 18, aligned to NCO-2015/7411.0100","QP Code: ELE/Q5804 ... NSQF Level 4 ... Minimum Job Entry Age 18 Years ... Aligned to NCO/ISCO/ISIC Code NCO-2015/7411.0100",QP Parameters,verified
ev-010,src-009,skill,skl-001,"General Housekeeper QP code DWC/Q0102, NSQF Level 2, min age 18, aligned to NCO-2015/5152.0100","Aligned to NCO/ISCO/ISIC Code NCO-2015/5152.0100 ... Minimum Job Entry Age 18 Years",QP Parameters,verified
ev-011,src-010,skill,skl-004,"Armed Security Guard training duration is 450 hours (174 theory + 276 practical), min age 21, min education Class 10 plus 2 years experience, aligned to NCO-2015/5414.0151","Classroom (offline) 174 [theory] 276 [practical] ... Total 450 ... Age: 21 Years ... Class 10th pass, 2 years of prior experience with Armed Forces ... NCO-2015/5414.0151",Basic Details / Module Summary,verified
ev-012,src-004,scheme,sch-003,"CMKKY targets at least 70% trainee placement and uses self-registration via kaushalkar.com","The placement after training for at least 70 % of the trainees. ... All the candidates aspiring to be Skilled to be registered on www.kaushalkar.com",Scheme Framework,verified
ev-013,src-005,scheme,sch-004,"KBOCWWB benefits reportedly include medical, maternity, education, disability pension, accident compensation, and housing assistance","[from a secondary search-engine summary, not a directly fetched page] Medical Coverage... Maternity Assistance... Education Support... Disability & Pension... Housing Assistance",Benefits (secondary summary),candidate-unverified
ev-014,src-021,training_centre,tc-004,"NSTI Bengaluru address is Outer Ring Road Yeswanthpur, Bengaluru-560022, phone (080)29524112","National Skill Training Institute, Outer Ring Road Yeswanthpur, Bengaluru- 560 022 ... (080)29524112 ... nsti-bengaluru1@dgt.gov.in",Contact/Address section,verified
ev-015,src-023,training_centre,tc-004,"DGT's central-institutes-lists page gives an alternate address (Tumkur Road, Bengaluru) for NSTI Bengaluru and states its specializations include welding, machining, electrical work","CITS (Craftsmen Instructor Training Scheme) and CTS programs in welding, machining, electrical work, and related trades",Central Institutes table,verified
ev-016,src-022,training_centre,tc-005,"NSTI(W) Bengaluru address is Lakkasandra, Hombegowda Nagar, Bengaluru 560029, phone 080 2656 1955","Lakkasandra,Hombegowda Nagar, Bengaluru, Karnataka 560029. ... 080 2656 1955",Contact/Address section,verified
ev-017,src-025,training_centre,tc-014,"Sri Dharmasthala Manjunatheshwara ITI (NCVT code PR29000170), Dakshina Kannada, is one of 500 ITIs nationally selected under DGT's STRIVE scheme",71 Karnataka Pvt. PR29000170 Sri Dharmasthala Manjunatheshwara ITI Dakshina Kannada Phase 1,"500 ITIs selected under STRIVE, row 71",verified
ev-018,src-024,training_centre,tc-014,The same institute (code PR29000170) also appears in the SLBC Karnataka private-ITI mapped list under Dakshina Kannada district,"PR29000170 Sri Dharmasthala Manjunatheshwara ITI P Venur, Belthangady Taluk Karnataka Dakshina Kannada 08256-286219","SLBC Karnataka Pvt ITI Mapped List, Dakshina Kannada rows",verified
ev-019,src-024,training_centre,tc-006,Raman Industrial Training Centre Kamakshi Palya is listed as a private ITI in Bengaluru (Bangalore) district in the SLBC mapped list,PR29000005 Raman Industrial Training Centre Kamakshi Palya P 134 Kamalighi Palaya Karnataka Bangalore 9916579365,"SLBC Karnataka Pvt ITI Mapped List, Bangalore rows",verified
ev-020,src-024,training_centre,tc-021,J S S Industrial Training Institute Nanjangud is listed as a private ITI in Mysore district in the SLBC mapped list,"PR29000081 J S S Industrial Training Institute Nanjangud P Plot No. CA-10, KIADB Thandya Industrial Area, Thandya-571302, Nanjangud, Mysore District Karnataka Mysore 0821-223095","SLBC Karnataka Pvt ITI Mapped List, Mysore rows",verified
ev-021,src-024,training_centre,tc-036,Sri Mahanteshwara Vidhya Varthaka Sangha Industrial Training Centre is listed as a private ITI in Gulbarga (Kalaburagi) district in the SLBC mapped list,PR29000112 Sri Mahanteshwara Vidhya Varthaka Sangha Industrial Training Centre P Afzalpur Karnataka Gulbarga 9535598581,"SLBC Karnataka Pvt ITI Mapped List, Gulbarga rows",verified
ev-022,src-024,training_centre,tc-051,"Ashrapree Industrail Training Institute Krishnapur, Hubli is listed as a private ITI in Dharwad district in the SLBC mapped list","PR29000019 Ashrapree Industrail Training Institute Krishnapur, Hubli P 27/2A KRISHNAPUR JAWAHAR NAGAR GUDIHAL ROAD OLD - HUBLI HUBLI-580024 Karnataka Dharwad 0836-2203957","SLBC Karnataka Pvt ITI Mapped List, Dharwad rows",verified
ev-023,src-024,training_centre,tc-066,Vijayanagara Industrial Training Institute is listed as a private ITI in Bellary (Ballari) district in the SLBC mapped list,PR29000034 Vijayanagara Industrial Training Institute P Kamalapura Hospet Tq. Bellary Dt. Karnataka Bellary 9916469882,"SLBC Karnataka Pvt ITI Mapped List, Bellary rows",verified
ev-024,src-026,training_centre,tc-132,"Govt ITI Davanagere (MIS GU29000048) has a current, Recommended DST affiliation for Fitter and Electrician with Toyota Kirloskar Motors Pvt. Ltd.",Govt Industrial Training Institute Davanagere GU29000048 Toyota Kirloskar Motors Pvt. Ltd ... Fitter 3rd Shift 1 Existing Unit Recommended / Electrician 3rd Shift 1 Existing Unit Recommended,"Karnataka section, row 1",verified
ev-025,src-026,training_centre,tc-133,"Govt ITI Koratagere (MIS GR29001513) has a current, Recommended DST affiliation for Mechanic Motor Vehicle with Honnasiri (Mahindra unit).",Govt ITI Koratagere GR29001513 Honnasiri Mahindra A Unit of Hd Moters ... Mechanic Motor Vehicle 1st Shift 1 ... Recommended,"Karnataka section, row 2",verified
ev-026,src-026,training_centre,tc-134,"Govt ITI BEML Nagar, KGF (MIS GU29000015) has current, Recommended DST affiliations for Machinist, Turner, and Fitter with BEML Ltd.","Govt, ITI, Beml Nagar Kgf, 563115 GU29000015 M/S, Beml Ltd, Em, Division ... Machinist ... Turner ... Fitter ... Recommended","Karnataka section, row 3",verified
ev-027,src-026,training_centre,tc-135,"Govt ITI Anekal Nagara (MIS GU29001424) has current, Recommended DST affiliations for Fitter (Sirigequality Laboratory) and Electrician (BHEL Electronics Division).","Govt Industrial Training Institute, Anekal Nagara GU29001424 Sirigequality Laboratory Pt. Ltd ... Fitter ... Bhel, Eleronics Division ... Electrician ... Recommended","Karnataka section, row 4",verified
ev-028,src-026,training_centre,tc-136,"Govt ITI Beguru (MIS GR29000925) has current, Recommended DST affiliations for Fitter and Turner (Brakes India Pvt Ltd, Nanjangud) and Electronics Mechanic and Electrician (Kaynes Electronics Manufacturing, Chamarajanagar).","Govt. ITI, Beguru GR29000925 ... Brakes India Pvt. Ltd Nanjangud Taluk Mysore ... Fitter ... Kaynes Electronics Manufacturing Pvt. Ltd. Chamarajanagar ... Electronics Mechanic ... Electrician ... Turner ... Recommended","Karnataka section, row 5",verified
ev-029,src-026,training_centre,tc-137,"Govt ITI Maddur (MIS GR29000400) has a current, Recommended DST affiliation for Tool and Die Maker (Press Tools, Jigs & Fixture) with M/S Hiten Fasteners.","Government Industrial Training Institute, Maddur GR29000400 M/S Hiten Fasteners Somanahalli Industrial Area Maddur ... Tool and Die Maker Press Tools Jigs & Fixture ... Recommended","Karnataka section, row 6",verified
ev-030,src-026,training_centre,tc-138,"Govt ITI Chamarajanagar (MIS GU29001514) has current, Recommended DST affiliations for Fitter and Electrician with M/S Elkitch Pvt. Ltd.","Govt ITI, Chamarajanagar GU29001514 M/S Elkitch Pvt. Ltd. Badanaguppe Kellamballi Industrial Area Chamarajanagara ... Fitter ... Electrician ... Recommended","Karnataka section, row 7",verified
ev-031,src-026,training_centre,tc-002,"Govt. ITI (W), Gundlupet (MIS GR29000206) has a current, Recommended DST affiliation for a trade abbreviated 'IR & DMT' with M/S Elkitch Pvt. Ltd.; the full official trade name was not expanded/confirmed in this session, so no centre_courses row was created for it.","8. Govt. ITI, (W), Gundlupet GR29000206 M/S Elkitch Pvt. Ltd. ... IR & DMT 2nd shift 1 Conversion of Existing Affiliated Unit Recommended","Karnataka section, row 8",verified
ev-032,src-026,training_centre,tc-139,"Govt ITI, N R Mohalla, Mysore-07 (MIS GU29000053) has current, Recommended DST affiliations for CNC Machining Technician, Fitter, and Welder with Fluidyne Engineers India Pvt. Ltd.","Government Industrial Training Institute, N R Mohalla Mysore-07 GU29000053 Fluidyne Engineers India Pvt. Ltd ... CNC Machining Technician ... Fitter ... Welder ... Recommended","Karnataka section, rows 9",verified
ev-033,src-026,training_centre,tc-140,"Govt ITI Malavalli (MIS GU29000158) has current, Recommended DST affiliations for Electronics Mechanic (Kaynes Technology India) and Turner (Rane Madras Limited).","Govt Industrial Training Institute, Malavalli GU29000158 M/S Kaynes Technology India Limited ... Electronics Mechanic ... M/S Rane Madras Limited ... Turner ... Recommended","Karnataka section, row 10",verified
