centre_id,centre_name,original_address,district,taluk,geocoding_query,latitude,longitude,status,confidence,provider,provider_result,validation_reason,unresolved_category,geocoded_at
tc-001,"Government Tool Room and Training Centre, Rajajinagar",REQUIRES OFFICIAL SOURCE VERIFICATION,Bengaluru Urban,,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-002,"Government Industrial Training Institute, Gundlupete",REQUIRES OFFICIAL SOURCE VERIFICATION,Chamarajanagar,Gundlupete,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-003,ITI Directorate of Employment & Training (DET) — Mysuru Division Office,REQUIRES OFFICIAL SOURCE VERIFICATION,Mysuru,,,,,FAILED,NONE,,,Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION'),PLACEHOLDER,
tc-004,National Skill Training Institute (NSTI) Bengaluru,"Outer Ring Road, Yeswanthpur, Bengaluru - 560022",Bengaluru Urban,,"Outer Ring Road, Bengaluru, Karnataka, India",13.032496,77.540702,SUCCESS,HIGH,osm-nominatim,"Outer Ring Road, Goragunte Palya, Peenya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560022, India","High confidence match (Score 105.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 560022 (+15); Strong token overlap ['outer', 'ring', 'bengaluru'] (+15); Plausible POI (highway/trunk) (+5)",,2026-09-06T06:19:35.458737+00:00
tc-005,National Skill Training Institute for Women (NSTI-W) Bengaluru,"Lakkasandra, Hombegowda Nagar, Bengaluru, Karnataka 560029",Bengaluru Urban,,"Lakkasandra, Bengaluru, Karnataka, India",12.942941,77.597391,SUCCESS,HIGH,osm-nominatim,"Lakkasandra, Doctor M H Marigowda Road, Lakkasandra, Bengaluru South City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560029, India","High confidence match (Score 98.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 560029 (+15); Token overlap ['lakkasandra', 'bengaluru'] (+8); Plausible POI (highway/bus_stop) (+5)",,2026-09-06T06:19:35.459501+00:00
tc-006,Raman Industrial Training Centre Kamakshi Palya,134 Kamalighi Palaya,Bengaluru Urban,,"Kamalighi Palaya, Bengaluru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-007,St Joseph Industrial Training Centre,Ourlady Fatima Church H.M.T Post,Bengaluru Urban,,"St Joseph, Bengaluru, Karnataka, India",12.970336,77.595084,SUCCESS,HIGH,osm-nominatim,"St. Joseph's Indian High School, 1st Cross Road, D'Souza Layout, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['joseph'] (+8); Plausible POI (amenity/school) (+5),,2026-09-06T06:19:35.460338+00:00
tc-008,Muslim Orphanage Industrial Training Centre,43 Dickenson Road,Bengaluru Urban,,"Dickenson Road, Bengaluru, Karnataka, India",12.97448,77.614087,SUCCESS,HIGH,osm-nominatim,"Dickenson Road, Craig Park Layout, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['dickenson'] (+8); Plausible POI (highway/primary) (+5),,2026-09-06T06:19:35.460626+00:00
tc-009,"Globe I.T.C., Obalappa Garden, Bangalore","Obalappa Garden, Bangalore",Bengaluru Urban,,"Obalappa Garden, Bengaluru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-010,Sri Ayyappan I.T.C,"MM Road Cross, JayaMahal, Nandidurg Road",Bengaluru Urban,,"MM Road Cross, Bengaluru, Karnataka, India",12.974353,77.638576,SUCCESS,HIGH,osm-nominatim,"MM Clinic, 3rd Cross Road, Motappanapalya, Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560038, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (amenity/clinic) (+5),,2026-09-06T06:19:35.460980+00:00
tc-011,Bhuvan Industrial Training Centre Venkatala,Venkatala Yalahnka,Bengaluru Urban,,"Venkatala Yalahnka, Bengaluru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-012,M V M Industrial Training Centre,"15,16,17 Gangadhra Chetty Road Ulsoor lake",Bengaluru Urban,,"M V M, Bengaluru, Karnataka, India",12.99447,77.593655,SUCCESS,HIGH,osm-nominatim,"State Bank of India, M V Jayaram Road, Jayamahal, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560006, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (amenity/bank) (+5),,2026-09-06T06:19:35.461310+00:00
tc-013,M.C.E.B.T.I. Industrial Training Centre,"No.87, 10th main road 3rd phase 3rd Block, Manjunath Nagar Rajajinagar-10",Bengaluru Urban,,"M C E B T I, Bengaluru, Karnataka, India",,,FAILED,LOW,,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City-level centroid rejected; physical facility unverified in OSM,FAILED_VALIDATION,
