id,name_en,name_hi,name_kn,sector,nco_code,is_informal_sector,description,source_id
occ-001,Domestic Worker (General Housekeeping),घरेलू सहायक,ಮನೆಗೆಲಸದವರು,Domestic Workers / Household Services,NCO-2015/5152.0100,true,"Provides housekeeping, cleaning, laundry, and kitchen-maintenance services in private households or small establishments.",src-009
occ-002,"Tailor (Apparel, Self-Employed)",दर्जी,ಟೈಲರ್ (ದರ್ಜಿ),Apparel,NCO-2015/7531.0100,true,"Takes measurements, drafts patterns, cuts fabric and sews custom garments, including alterations.",src-007
occ-003,Electrician,इलेक्ट्रीशियन,ಎಲೆಕ್ಟ್ರಿಷಿಯನ್,Electronics / Electrical Installation,NCO-2015/7411.0100,true,"Plans, installs, tests, and maintains electrical and electronic sub-systems and wiring; treated as informal-sector when unlicensed/self-employed.",src-008
occ-004,Security Guard (Armed),सशस्त्र सुरक्षा गार्ड,ಶಸ್ತ್ರಸಜ್ಜಿತ ಭದ್ರತಾ ಸಿಬ್ಬಂದಿ,Private Security,NCO-2015/5414.0151,true,"Guards premises, people, and property, including cash-in-transit escort duties, typically employed by a private security agency.",src-010
occ-005,Delivery / Courier Rider,डिलीवरी राइडर,ಡೆಲಿವರಿ ರೈಡರ್,Gig Economy / Logistics,,true,"Delivers packages or food on a two-wheeler for an e-commerce or food-delivery platform. NCO-2015 alignment REQUIRES OFFICIAL SOURCE VERIFICATION.",
occ-006,Construction Labourer,निर्माण मजदूर,ಕಟ್ಟಡ ಕಾರ್ಮಿಕ,Construction,,true,"Performs manual labour on building and construction sites, often on a daily-wage basis. NCO-2015 alignment REQUIRES OFFICIAL SOURCE VERIFICATION.",
occ-007,Auto-Rickshaw / Taxi Driver,ऑटो-रिक्शा चालक,ಆಟೋ ರಿಕ್ಷಾ ಚಾಲಕ,Transport,,true,"Drives a passenger auto-rickshaw or taxi, typically self-employed or on a per-trip commission basis. NCO-2015 alignment REQUIRES OFFICIAL SOURCE VERIFICATION.",
occ-008,Street / Market Vendor,फेरीवाला,ಬೀದಿ ವ್ಯಾಪಾರಿ,Retail / Informal Trade,,true,"Sells goods (e.g. fruits, vegetables, small retail items) from a street stall, cart, or market pitch. NCO-2015 alignment REQUIRES OFFICIAL SOURCE VERIFICATION.",
occ-009,Fitter (Mechanical Fitting Trade Worker),फिटर,ಫಿಟ್ಟರ್,Manufacturing / Mechanical Trades,,true,"Performs fitting, assembly, and precision-measurement work in a workshop or industrial setting; a core NCVT/DGT-recognized trade offered at multiple Karnataka Government ITIs. NCO-2015 code REQUIRES OFFICIAL SOURCE VERIFICATION.",src-026
occ-010,Welder,वेल्डर,ವೆಲ್ಡರ್,Manufacturing / Fabrication,,true,Performs arc/gas welding and metal-fabrication work; a core NCVT/DGT-recognized trade. NCO-2015 code REQUIRES OFFICIAL SOURCE VERIFICATION.,src-026
occ-011,Machine Shop Operator (Machinist / Turner),मशीन शॉप ऑपरेटर,ಯಂತ್ರ ಅಂಗಡಿ ನಿರ್ವಾಹಕ,Manufacturing / Machine Tools,,true,"Operates lathe, milling, and other machine-shop tools to produce precision components; covers the closely-related NCVT/DGT trades Machinist and Turner, both offered at Karnataka Government ITIs. NCO-2015 code REQUIRES OFFICIAL SOURCE VERIFICATION.",src-026
occ-012,Motor Vehicle Mechanic,मोटर वाहन मैकेनिक,ಮೋಟಾರ್ ವಾಹನ ಮೆಕ್ಯಾನಿಕ್,Automotive Repair & Servicing,,true,"Services, repairs, and maintains motor vehicles in a workshop setting; a core NCVT/DGT-recognized trade offered at a Karnataka Government ITI. NCO-2015 code REQUIRES OFFICIAL SOURCE VERIFICATION.",src-026
occ-013,Electronics Repair Technician,इलेक्ट्रॉनिक्स मरम्मत तकनीशियन,ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್ ದುರಸ್ತಿ ತಂತ್ರಜ್ಞ,Electronics / Repair Services,,true,Services and repairs electronic equipment; a core NCVT/DGT-recognized trade (Electronics Mechanic) offered at Karnataka Government ITIs. NCO-2015 code REQUIRES OFFICIAL SOURCE VERIFICATION.,src-026
