id,authority,title,official_url,source_type,publication_date,retrieved_date,last_verified_date,verification_status,notes
src-001,"Ministry of Micro, Small and Medium Enterprises (MSME), Government of India","PM Vishwakarma â€” Official Portal",https://pmvishwakarma.gov.in/,portal-page,,2026-09-05,2026-09-05,verified,"Fetched directly in this session. Eligibility criteria, 18-trade list, and benefit amounts (training stipend, toolkit incentive, loan tranches, interest rate) were quoted verbatim from this page."
src-002,"Ministry of Labour & Employment, Government of India","e-Shram Portal â€” Frequently Asked Questions",https://eshram.gov.in/faqs,portal-page,,2026-09-05,2026-09-05,verified,"Fetched directly in this session. Eligibility (age, occupation type, EPFO/ESIC exclusion, income-tax exclusion) and required documents were quoted verbatim. Note: FAQ explicitly states no direct financial benefit is currently linked to registration itself â€” this overrides the commonly repeated but unverified claim of an automatic accident-insurance benefit."
src-003,"Ministry of Labour & Employment, Government of India","About e-Shram Portal",https://eshram.gov.in/e-shram-portal,portal-page,,2026-09-05,2026-09-05,pending-review,"Identified via web search summary only; page not independently fetched/read in full in this session."
src-004,"Skill Development, Entrepreneurship and Livelihood Department, Government of Karnataka","Chief Minister's Kaushalya Karnataka Yojane (CMKKY)",https://kaushalya.karnataka.gov.in/7/chief-minister-kaushalya-karnataka-yojane/en,portal-page,,2026-09-05,2026-09-05,pending-review,"Fetched directly, but the page text obtained did not state explicit age/education eligibility. Confirmed directly: placement target of 'at least 70% of trainees' and self-registration via www.kaushalkar.com. Commonly cited details elsewhere (age 18-35, 3000+ job roles, 800+ centres) come from secondary search summaries only and REQUIRE OFFICIAL SOURCE VERIFICATION."
src-005,"Labour Department, Government of Karnataka","Karnataka Building and Other Construction Workers' Welfare Board â€” Benefits page",https://labour.karnataka.gov.in/info-2/Karnataka+Building+and+Other+Construction+Workers%E2%80%99+Welfare+Board+Benefits/en,portal-page,,2026-09-05,2026-09-05,pending-review,"Direct fetch failed in this session (TLS certificate error). Listed benefit categories come from a secondary search-engine summary that cites this official URL, not a directly fetched/quoted page. REQUIRES OFFICIAL SOURCE VERIFICATION before treating amounts as fact."
src-006,"Karnataka Building And Other Construction Workers Welfare Board (KBOCWWB)","KBOCWWB â€” Official Board Website",https://karbwwb.karnataka.gov.in/en,portal-page,,2026-09-05,2026-09-05,pending-review,"Fetched directly. Confirmed the board was formed in 2007 and that helpline 155214 exists. Page content available in this session did not state detailed registration eligibility criteria (e.g. minimum days worked) or exact benefit amounts."
src-007,"Apparel, Made-ups & Home Furnishing Sector Skill Council (AMHSSC), under Ministry of Skill Development & Entrepreneurship / NSDC","Qualification Pack â€” Self Employed Tailor (AMH/Q1947, v2.0)",https://nqr.gov.in/sites/default/files/AMH_Q1947_v2.0%20Self%20Employed%20Tailor.pdf,pdf-guideline,2021-09-30,2026-09-05,2026-09-05,verified,"Downloaded and read directly (full PDF). NCO code (NCO-2015/7531.0100), NSQF Level 4, minimum education (8th class + 6 months experience), and minimum job-entry age (18 years) quoted verbatim."
src-008,"Electronics Sector Skills Council of India (ESSCI), under MSDE/NCVET/NSDC","Qualification Pack â€” Electrician (ELE/Q5804, v1.0)",https://www.essc-india.org/images/QPs/Electrician%20-%20%20ELE_Q5804_v1.0.pdf,pdf-guideline,2022-11-17,2026-09-05,2026-09-05,verified,"Downloaded and read directly (full PDF). NCO code (NCO-2015/7411.0100), NSQF Level 4, minimum education, and minimum job-entry age (18 years) quoted verbatim."
src-009,"Domestic Workers Sector Skill Council (DWSSC), under MSDE/NCVET/NSDC","Qualification Pack â€” General Housekeeper (Household and Small Establishment) (DWC/Q0102, v3.0)",https://dwsscindia.com/wp-content/uploads/2024/04/DWC_General-Houseekeeper_Q0102_v3.0.pdf,pdf-guideline,2021-03-25,2026-09-05,2026-09-05,verified,"Downloaded and read directly (full PDF). NCO code (NCO-2015/5152.0100), NSQF Level 2, minimum education ('no formal education prescribed'), and minimum job-entry age (18 years) quoted verbatim."
src-010,"Management & Entrepreneurship and Professional Skills Council (MEPSC), NCVET-approved","Qualification File â€” Armed Security Guard (NCVET Code 2022/OAFM/MEPSC/05426)",https://www.nqr.gov.in/qualification/file/QFile_Armed%20Security%20Guard_English_210624.pdf,pdf-guideline,2022-02-24,2026-09-05,2026-09-05,verified,"Downloaded and read directly (full PDF). NCO code (NCO-2015/5414.0151), NSQF Level 4, full entry eligibility (Class 10 pass + 2 years relevant experience, age 21, physical-fitness standards), and total training duration (450 hours: 174 theory + 276 practical) quoted verbatim."
