id,scheme_id,rule_group_id,field_path,operator,value,logic_connector,mandatory,human_readable_condition,rule_status,source_id,last_verified
er-001,sch-001,1,worker_profiles.age,gte,18,AND,true,Beneficiary must be at least 18 years old on the date of registration.,verified,src-001,2026-09-05
er-002,sch-001,1,worker_profiles.occupation_id,in,"carpenter;boat-maker;armourer;blacksmith;hammer-tool-kit-maker;locksmith;sculptor-stone-carver;goldsmith;potter;cobbler-footwear-artisan;mason;basket-mat-broom-maker;coir-weaver;doll-toy-maker;barber;garland-maker;washerman;tailor;fishing-net-maker",AND,true,"Applicant must be engaged in one of the 18 listed family-based traditional trades (e.g. carpenter, mason, tailor, cobbler, goldsmith, potter, barber, washerman, etc.).",verified,src-001,2026-09-05
er-003,sch-001,1,worker_profiles.social_security_status,eq,unorganised-or-self-employed,AND,true,Applicant must be working in the unorganised sector or on a self-employment basis.,verified,src-001,2026-09-05
er-004,sch-001,1,worker_profiles.prior_similar_scheme_loan_last_5_years,eq,false,AND,true,Applicant must not have availed a loan under a similar self-employment/business-development credit scheme of the Central or State Government in the past 5 years.,verified,src-001,2026-09-05
er-005,sch-001,1,worker_profiles.household_member_already_registered,eq,false,AND,true,Scheme benefit is restricted to one member per family.,verified,src-001,2026-09-05
er-006,sch-001,1,worker_profiles.is_government_employee_or_family,eq,false,AND,true,"A person in government service, or their family member, is not eligible.",verified,src-001,2026-09-05
er-007,sch-002,1,worker_profiles.age,gte,16,AND,true,Worker must be 16 years or older.,verified,src-002,2026-09-05
er-008,sch-002,1,worker_profiles.age,lte,59,AND,true,Worker must be 59 years or younger.,verified,src-002,2026-09-05
er-009,sch-002,1,worker_profiles.social_security_status,not_in,"ESIC;EPFO",AND,true,Worker must not be a member of ESIC or EPFO.,verified,src-002,2026-09-05
er-010,sch-002,1,worker_profiles.is_income_tax_payee,eq,false,AND,true,Worker should not be an income-tax payee (no income threshold otherwise applies).,verified,src-002,2026-09-05
er-011,sch-003,1,worker_profiles.age,gte,18,AND,true,"Commonly cited minimum age for CMKKY is 18 — REQUIRES OFFICIAL SOURCE VERIFICATION (not confirmed via a directly fetched, quoted official text in this session).",needs-review,src-004,2026-09-05
er-012,sch-003,1,worker_profiles.age,lte,35,AND,true,"Commonly cited maximum age for CMKKY is 35 — REQUIRES OFFICIAL SOURCE VERIFICATION.",needs-review,src-004,2026-09-05
er-013,sch-004,1,worker_profiles.occupation_id,eq,construction-labourer,AND,true,"Registration is understood to require engagement in building/construction work, with a minimum number of days worked in the preceding year (commonly cited as 90 days under the BOCW Act framework) — REQUIRES OFFICIAL SOURCE VERIFICATION of the exact day-count and registration fee for Karnataka specifically.",needs-review,src-006,2026-09-05
er-014,sch-005,1,worker_profiles.age,gte,15,AND,true,"Commonly cited minimum age for PMKVY Short Term Training is 15 — REQUIRES OFFICIAL SOURCE VERIFICATION against an official PMKVY 4.0 guideline document.",needs-review,src-013,2026-09-05
er-015,sch-005,1,worker_profiles.age,lte,45,AND,true,"Commonly cited maximum age for PMKVY Short Term Training is 45 — REQUIRES OFFICIAL SOURCE VERIFICATION.",needs-review,src-013,2026-09-05
