id,centre_id,course_id,batch_schedule_note,fee_override_inr,source_id,last_verified,freshness_flag
cc-001,tc-004,crs-002,REQUIRES OFFICIAL SOURCE VERIFICATION (batch schedule not stated in source),,src-023,2026-09-05,CURRENT
cc-002,tc-132,crs-005,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-003,tc-132,crs-002,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-004,tc-133,crs-008,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-005,tc-134,crs-006,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-006,tc-134,crs-007,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-007,tc-134,crs-005,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-008,tc-135,crs-005,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-009,tc-135,crs-002,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-010,tc-136,crs-005,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-011,tc-136,crs-010,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-012,tc-136,crs-002,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-013,tc-136,crs-007,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-014,tc-137,crs-011,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-015,tc-138,crs-005,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-016,tc-138,crs-002,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-017,tc-139,crs-012,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-018,tc-139,crs-005,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-019,tc-139,crs-009,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-020,tc-140,crs-010,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
cc-021,tc-140,crs-007,"DST (Dual System of Training) unit; batch/shift schedule set jointly with the named industry partner, not a general open-admission schedule. REQUIRES OFFICIAL SOURCE VERIFICATION for general (non-DST) seat availability.",,src-026,2026-09-05,CURRENT
