1. [tc-001] Government Tool Room and Training Centre, Rajajinagar (Bengaluru Urban) | Cat: PLACEHOLDER | Reason: Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION') | Addr: REQUIRES OFFICIAL SOURCE VERIFICATION
2. [tc-002] Government Industrial Training Institute, Gundlupete (Chamarajanagar) | Cat: PLACEHOLDER | Reason: Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION') | Addr: REQUIRES OFFICIAL SOURCE VERIFICATION
3. [tc-003] ITI Directorate of Employment & Training (DET) — Mysuru Division Office (Mysuru) | Cat: PLACEHOLDER | Reason: Placeholder / unverified address ('REQUIRES OFFICIAL SOURCE VERIFICATION') | Addr: REQUIRES OFFICIAL SOURCE VERIFICATION
4. [tc-006] Raman Industrial Training Centre Kamakshi Palya (Bengaluru Urban) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: 134 Kamalighi Palaya
5. [tc-009] Globe I.T.C., Obalappa Garden, Bangalore (Bengaluru Urban) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: Obalappa Garden, Bangalore
6. [tc-011] Bhuvan Industrial Training Centre Venkatala (Bengaluru Urban) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: Venkatala Yalahnka
7. [tc-021] Pragathi Industrial Training Centre (Bengaluru Rural) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: Fort Street Vijaypura
8. [tc-023] Sri Banashankari ITC (Bengaluru Rural) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: # 37, Parvartha Pura Road, Devanhalli, Bangalore
9. [tc-026] Sri Nanjunda Shivayageshwara ITI (Mysuru) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: Gavadagere Hunsur Tq.
10. [tc-027] Jnanabyaveshwara Industrail Training Centre (Mysuru) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: Saligrama K.R Nagar
11. [tc-029] Jagruthi ITC (Mysuru) | Cat: FAILED_NO_RESULT | Reason: No matching results across all query passes | Addr: 7th Block, B.M. Road, Periyapatna
